"clade","family","genus","species","ea","ln_a","Tcrit"
"angiosperm","Proteaceae","Grevillea","Grevillea_victoriae",222.8219751,81.53489673,40.559
"angiosperm","Ranunculaceae","Xanthorhiza","Xanthorhiza_simplicissima",371.854815,136.2191208,46.687
"angiosperm","Rhamnaceae","Berchemia","Berchemia_scandens",252.1037286,91.82762638,47.579
"angiosperm","Rubiaceae","Emmenopterys","Emmenopterys_henryi",204.9407267,74.54782254,43.242
"angiosperm","Rutaceae","Skimmia","Skimmia_anquetilia",203.5309808,73.91181887,43.554
"angiosperm","Sabiaceae","Meliosma","Meliosma_cuneifolia",165.6490695,59.84571891,44.693
"angiosperm","Salicaceae","Carrierea","Carrierea_calycina",291.456366,105.7900866,48.484
"angiosperm","Sapindaceae","Aesculus","Aesculus_glabra",366.6821614,135.0607231,46.633
"angiosperm","Saxifragaceae","Chrysosplenium","Chrysosplenium_davidianum",367.8671936,136.3119051,42.888
"angiosperm","Schisandraceae","Schisandra","Schisandra_rubriflora",444.7041585,163.860064,46.866
"angiosperm","Scrophulariaceae","Buddleja","Buddleja_lindleyana",266.0011144,97.28020442,46.51
"angiosperm","Simaroubaceae","Picrasma","Picrasma_quassioides",377.8923187,137.3461234,48.824
"angiosperm","Stachyuraceae","Stachyurus","Stachyurus_salicifolius",228.9772754,83.64204029,44.148
"angiosperm","Staphyleaceae","Staphylea","Staphylea_trifolia",331.2472778,121.1804351,45.947
"angiosperm","Styracaceae","Melliodendron","Melliodendron_xylocarpum",443.7353593,160.3854,48.161
"angiosperm","Symplocaceae","Symplocos","Symplocos_paniculata",376.7523394,138.4087799,46.498
"angiosperm","Tamaricaceae","Tamarix","Tamarix_ramosissima",248.7858492,92.4680848,49.156
"angiosperm","Tapisciaceae","Tapiscia","Tapiscia_sinensis",316.6100715,115.2198939,47.1
"angiosperm","Theaceae","Camellia","Camellia_reticulata",395.8145329,143.8674334,49.099
"angiosperm","Trochodendraceae","Trochodendron","Trochodendron_aralioides",260.2839327,94.99331286,44.374
"angiosperm","Tropaeolaceae","Tropaeolum","Tropaeolum_polyphyllum",293.1929491,108.4114713,44.609
"angiosperm","Typhaceae","Typha","Typha_augustifolia",326.969179,119.2714136,48.013
"angiosperm","Ulmaceae","Ulmus","Ulmus_parvifolia",201.8567092,73.40067728,44.245
"angiosperm","Urticaceae","Boehmeria","Boehmeria_longispica",239.3512083,87.37397652,46.008
"angiosperm","Velloziaceae","Xerophyta","Xerophyta_viscosa",165.9043775,60.58659559,43.076
"angiosperm","Verbenaceae","Verbena","Verbena_officinalis",307.276505,112.8665283,46.763
"angiosperm","Violaceae","Viola","Viola_odorata",265.9728992,98.00025361,42.504
"angiosperm","Vitaceae","Vitis","Vitis_coigettae",296.6654484,108.7220213,45.414
"angiosperm","Winteraceae","Drimys","Drimys_lanceolata",332.6790256,120.658181,49.416
"angiosperm","Zingiberaceae","Hedychium","Hedychium_densiflorum",573.0824329,210.9192824,48.488
"gymnosperm","Cupressaceae","Chamaecyparis","Chamaecyparis_lawsoniana",324.1026611,118.2853108,47.389
"gymnosperm","Ginkgoaceae","Ginkgo","Ginkgo_biloba",229.1106976,83.64631984,42.952
"gymnosperm","Pinaceae","Abies","Abies_amabilis",405.7181212,150.6429546,45.054
"gymnosperm","Pinaceae","Abies","Abies_fraseri",364.8025748,134.9231774,46.77
"gymnosperm","Pinaceae","Abies","Abies_grandis",407.5675298,150.4209812,45.913
"gymnosperm","Pinaceae","Abies","Abies_lasiocarpa",421.0141086,155.4355729,45.546
"gymnosperm","Pinaceae","Cathaya","Cathaya_argyrophylla",390.7060192,142.4608415,48.868
"gymnosperm","Pinaceae","Larix","Larix_laricina",300.1235397,110.2340724,45.18
"gymnosperm","Pinaceae","Picea","Picea_stichensis",307.0414684,112.6095995,46.661
"gymnosperm","Pinaceae","Pinus","Pinus_contorta",275.8529676,100.9077225,44.924
"gymnosperm","Pinaceae","Pinus","Pinus_densata",324.2211775,118.8470284,47.262
"gymnosperm","Podocarpaceae","Podocarpus","Podocarpus_totara",297.9515719,108.269746,49.396
"gymnosperm","Sciadopityaceae","Sciadopitys","Sciadopitys_verticillata",152.6558326,54.62680476,47.345
"gymnosperm","Taxaceae","Cephalotaxus","Cephalotaxus_harringtonia",263.31156,96.5605411,44.63
"pteridophyte","Athyriaceae","Athyrium","Athyrium_distentifolium",278.253666,101.7172004,45.532
"pteridophyte","Blechnaceae","Blechnum","Blechnum_spicant",404.7603495,149.9908365,44.761
"pteridophyte","Cystopteridaceae","Gymnocarpium","Gymnocarpium_dryopteris",318.3137658,116.8479604,45.957
"pteridophyte","Dennstaedtiaceae","Pteridium","Pteridium_aquilinum",214.3226602,77.93587458,48.443
"pteridophyte","Dryopteridaceae","Athyrium","Athyrium_filix-femina",347.0925567,126.8566919,47.445
"pteridophyte","Dryopteridaceae","Dryopteris","Dryopteris_carthusiana",367.4038251,134.4895987,47.797
"pteridophyte","Dryopteridaceae","Polystichum","Polystichum_imbrican",273.8926918,99.98132253,47.017
"pteridophyte","Dryopteridaceae","Polystichum","Polystichum_lonchitis",244.8778909,89.86457616,44.591
"pteridophyte","Dryopteridaceae","Polystichum","Polystichum_munitum",367.6895964,136.1016238,46.889
"pteridophyte","Osmundaceae","Osmundastrum","Osmundastrum_cinnamomeum",338.8915391,123.9934546,47.764
"pteridophyte","Polypodiaceae","Pyrrosia","Pyrrosia_lingua",382.7676086,140.144069,48.644
"pteridophyte","Pteridaceae","Adiantum","Adiantum_aleuticum",379.9216989,140.3663762,44.974
"pteridophyte","Thelypteridaceae","Thelypteris","Thelypteris_noveboracensis",338.9245186,124.7701933,45.274
"angiosperm","Rosaceae","Fragaria","Fragaria_chiloensis",384.804246,140.4045728,49.207
"angiosperm","Tecophilaeaceae","Odontostomum","Odontostomum_hartwegii",286.3559939,104.4237167,47.442
"angiosperm","Thymelaeaceae","Daphne","Daphne_alpina",239.773871,87.7295374,43.672
